suggestionId,author,title,category,votes,timestamp,n_comments,author_betweenness,author_degree_w,author_community,author_role,success
93129,bonebag227,Lactose Free Milk Option,Coffee+%26+Espresso+Drinks,26720,8/8/2010 6:59 PM,49.0,0.0,0,-1,unknown,0
116312,kaichela,Free drink on your gold day anniversary,Frappuccino+Beverages,26510,11/20/2013 6:15 PM,50.0,0.0,0,-1,unknown,0
46449,ElisabethsTeam,Keep Free Syrups!,Starbucks+Card,24170,9/18/2012 8:00 AM,49.0,0.0,0,-1,unknown,0
50223,mzwynter,You have lost the community coffee house feel,Atmosphere+%26+Locations,24130,3/20/2008 3:35 PM,48.0,0.0,0,-1,unknown,0
107408,emd220,3 shots in a venti espresso drinks,Coffee+%26+Espresso+Drinks,24080,11/20/2013 6:05 PM,50.0,0.0,0,-1,unknown,0
2197,Lisa,Reusable cups,Social+Responsibility,23010,3/19/2008 12:23 PM,50.0,0.0,0,-1,unknown,0
107602,diek,Bring back the Mocha Valencia,Coffee+%26+Espresso+Drinks,22390,2/17/2012 4:47 PM,24.0,0.0,0,-1,unknown,0
44571,Momx4,Bring Back Original Gold Card,Starbucks+Card,21970,1/21/2010 10:02 AM,1.0,0.0,0,-1,unknown,0
54643,JoAnna,Sofas and Chairs,Atmosphere+%26+Locations,21910,2/12/2009 9:21 AM,33.0,0.0,0,-1,unknown,0
42206,Starryeyes,Please change the expiration date on free drinks earned from 30 days to at least 90 days!with my gold card.  Expiration after 30 days is not enough!,"Ordering,+Payment+%26+Pick-Up",21800,4/8/2013 1:03 PM,44.0,0.0,0,-1,unknown,0
26714,bec,Raise the Cup Discount,"Ordering,+Payment+%26+Pick-Up",21780,3/25/2008 7:41 PM,33.0,0.0,0,-1,unknown,0
96541,colemkiniry,Offer a Skinny Pumpkin Spice Latte!!,Coffee+%26+Espresso+Drinks,21330,9/23/2010 10:04 AM,34.0,0.0,0,-1,unknown,0
218,Goonie,"Lose the high-fructose corn syrup (in flavor shots), go for real sugar",Tea+%26+Other+Drinks,20170,3/19/2008 5:30 PM,41.0,0.0,0,-1,unknown,0
55658,bobreese,Sanitation In Bathrooms,Atmosphere+%26+Locations,19590,3/19/2008 11:38 AM,48.0,0.0,0,-1,unknown,0
42351,JadedBarista,Improve the Rewards Program,"Ordering,+Payment+%26+Pick-Up",19530,9/9/2013 10:07 PM,50.0,0.0,0,-1,unknown,0
83333,IronGuar,"Less Ice, More Drink",Tea+%26+Other+Drinks,19430,3/31/2008 7:43 AM,50.0,0.0,0,-1,unknown,0
66168,PartnerMolly,Mark down prices in the evening for food that will be marked out that night.,Food,18810,11/1/2013 4:44 PM,50.0,0.0,0,-1,unknown,0
64056,jcsoda,Half-off Pasteries after 9 P.M.,Food,18690,4/11/2008 8:10 AM,43.0,0.0,0,-1,unknown,0
49669,stjapkes,Load email offers on starbucks card,Starbucks+Card,18610,11/6/2013 12:25 PM,37.0,0.0,0,-1,unknown,0
48956,musikdude,Year End Total Bonus Reward,Starbucks+Card,18120,11/20/2013 6:44 PM,49.0,0.0,0,-1,unknown,0
93886,zkatk,Bring Back Almond!,Coffee+%26+Espresso+Drinks,18040,5/13/2010 7:22 PM,48.0,0.0,0,-1,unknown,0
50866,Judy,I could use a shelf!,Atmosphere+%26+Locations,18040,3/20/2008 4:13 PM,50.0,0.0,0,-1,unknown,0
82769,GrandeSFVLatte,Paperless Treat Receipts for gold card members,New+Technology,17700,10/14/2010 2:45 PM,29.0,0.0,0,-1,unknown,0
49463,usedtobeafan,Require licensee stores to participate in rewards and card programs,Starbucks+Card,17530,11/14/2013 9:00 AM,50.0,0.0,0,-1,unknown,0
49915,starbaby,"More kid friendly? Please, no.",Atmosphere+%26+Locations,17400,3/19/2008 4:19 PM,49.0,0.0,0,-1,unknown,0
67725,Julieyum,Please bring back old bakery goods!,Food,17080,6/10/2013 3:07 PM,50.0,0.0,0,-1,unknown,0
26242,CustIdea0001,Happy Hours,"Ordering,+Payment+%26+Pick-Up",16890,3/18/2008 3:21 PM,48.0,0.0,199,0,contributor,0
49925,catville,Later Weekend Hours,Atmosphere+%26+Locations,16810,3/19/2008 12:03 PM,49.0,0.0,0,-1,unknown,0
108169,coffeediva212,Stop charging $0.60 extra for SOY!,Coffee+%26+Espresso+Drinks,16430,11/20/2013 6:13 PM,50.0,0.0,0,-1,unknown,0
104331,moonfish124,More Products Made in the USA,Merchandise+%26+Music,16370,11/7/2010 3:35 AM,23.0,0.0,0,-1,unknown,0
103058,VicHugo,Make sure customers get full drinks.,Coffee+%26+Espresso+Drinks,16350,4/18/2011 11:42 AM,50.0,0.0,0,-1,unknown,0
53044,jerilee,no smoking by front door,Atmosphere+%26+Locations,16290,5/11/2008 5:54 PM,50.0,0.0,0,-1,unknown,0
2185,DoctorT,Biodegradable drink & food containers,Social+Responsibility,16100,3/19/2008 1:58 PM,28.0,0.0,0,-1,unknown,0
92385,MarshaDell,Coupons for Tea Drinkers,Tea+%26+Other+Drinks,16040,4/23/2013 9:52 AM,50.0,0.0,0,-1,unknown,0
107368,ckenndy3,earned rewards never expire,Coffee+%26+Espresso+Drinks,15930,11/22/2013 12:50 PM,20.0,0.0,0,-1,unknown,0
26234,chriss,Get rid of tip jars,"Ordering,+Payment+%26+Pick-Up",15900,3/19/2008 11:23 AM,50.0,0.0,0,-1,unknown,0
87686,Queen423,Sugar - free Chai Tea Latte,Tea+%26+Other+Drinks,15220,9/21/2011 10:05 AM,10.0,0.0,0,-1,unknown,0
107697,ruvain,Transactions,Coffee+%26+Espresso+Drinks,14380,11/20/2013 6:20 PM,20.0,0.0,0,-1,unknown,0
45565,{FBE035B4-857F-4ACC-9600-4FBF30DCD3A4},Flexible Gold Card Benefits,Starbucks+Card,14370,10/20/2011 4:35 PM,50.0,0.0,0,-1,unknown,0
107585,CoffeeAddikt,BRING BACK the FREE Tall beverage with the purchase of a bag of coffee,Coffee+%26+Espresso+Drinks,14370,11/1/2012 7:42 PM,27.0,0.0,0,-1,unknown,0
102548,chu,free drink/food award that does not expire,Coffee+%26+Espresso+Drinks,14360,11/20/2013 7:13 PM,18.0,0.0,0,-1,unknown,0
95592,tulefog,"Plain soymilk, no sugar",Coffee+%26+Espresso+Drinks,14260,5/13/2011 7:06 AM,14.0,0.0,0,-1,unknown,0
16351,MamaMcCarl,Barista Appreciation Day,Other+Experience+Ideas,14080,1/3/2011 10:51 AM,45.0,0.0,0,-1,unknown,0
107842,Lindzpy87,Take High Fructose Corn Syrup out of the Caramel Sauce,Coffee+%26+Espresso+Drinks,14030,4/19/2012 11:36 AM,28.0,0.0,30,30,contributor,0
83383,HG,Soy charge,Tea+%26+Other+Drinks,13830,3/23/2008 9:15 PM,50.0,0.0,0,-1,unknown,0
99605,SteffiR,Less ice on cold drinks.. And more of the cold drink itself!,Coffee+%26+Espresso+Drinks,13790,11/20/2013 6:11 PM,32.0,3.268462939663418e-07,49,14,contributor,0
49341,zuroffh1,Bring back free extras for gold card.,Starbucks+Card,13210,11/20/2013 6:19 PM,35.0,0.0,0,-1,unknown,0
67761,mickey,Sugar Free / Low Carb / Gluten Free,Food,13120,3/20/2008 8:02 PM,50.0,0.0,0,-1,unknown,0
45497,kmi29,Starbucks Mini Gold Card,Starbucks+Card,12940,3/25/2010 9:45 PM,38.0,0.0,0,-1,unknown,0
338,wychykelly,Bring back Mocha Coconut and Coconut Crme Frappuccino Blended Beverages,Frappuccino+Beverages,12650,4/6/2014 6:48 AM,49.0,0.0,0,-1,unknown,0
40225,lilikoi,Double points day!,Starbucks+Card,12540,6/25/2011 1:53 PM,49.0,1.6577097739180922e-06,48,21,contributor,0
67800,mlbarber,Bring Back at Least Some of Original Pastry Line,Food,12540,11/5/2013 11:55 AM,47.0,0.0,0,-1,unknown,0
82990,benchley2,Order through app,New+Technology,12340,7/12/2012 7:57 PM,50.0,0.0,0,-1,unknown,0
54638,mulderjam,local art in stores please,Atmosphere+%26+Locations,12140,1/28/2009 4:50 PM,8.0,0.0,7,10,contributor,0
42302,mynameislauren,Increase personal cup discount with prices please!,"Ordering,+Payment+%26+Pick-Up",12130,3/27/2012 4:04 PM,31.0,0.0,0,-1,unknown,0
20273,gretchen1109,Rewards at Target,Other+Experience+Ideas,12120,11/20/2013 6:47 PM,4.0,0.0,0,-1,unknown,0
30332,MimiSnn,Coupons,"Ordering,+Payment+%26+Pick-Up",12120,12/15/2008 9:59 AM,18.0,0.0,0,-1,unknown,0
11081,julieC,Voting system on this site.,Other+Experience+Ideas,12080,3/19/2008 1:44 PM,31.0,3.308137849733687e-09,47,18,contributor,0
26237,CustIdea0001,Want my drink to taste the same at all stores,"Ordering,+Payment+%26+Pick-Up",12070,3/18/2008 3:21 PM,50.0,0.0,199,0,contributor,0
96371,quadshotabe,Samples Days,Coffee+%26+Espresso+Drinks,11840,6/3/2009 6:02 AM,31.0,0.0,0,-1,unknown,0
116577,lrschear,More Comfortable Seating Areas,Atmosphere+%26+Locations,11780,12/8/2009 1:20 PM,47.0,0.0,0,-1,unknown,0
50033,cmlstudio,Allow free  rewards to last longer than 30 days,Starbucks+Card,11770,4/22/2014 12:57 PM,40.0,0.0,0,-1,unknown,0
92051,crnemz,More Variety For Tea Drinkers,Tea+%26+Other+Drinks,11700,3/31/2010 10:05 PM,50.0,0.0,0,-1,unknown,0
